date,actual,model,forecast,lower_80,upper_80,lower_95,upper_95,error,abs_error,pct_error
2025-01-01,28.859294836808203,Simple exponential smoothing,25.125885083803265,16.00220139638644,34.24956877122009,11.172414997663184,39.07935516994335,3.7334097530049384,3.7334097530049384,12.93659382225518
2025-01-02,33.983246678220674,Simple exponential smoothing,25.125885083803265,12.223693842280106,38.028076325326424,5.393686368656482,44.85808379895005,8.857361594417409,8.857361594417409,26.063906366232956
2025-01-03,46.99711652426189,Simple exponential smoothing,25.125885083803265,9.3242562551781,40.92751391242843,0.9593792374200412,49.292390930186485,21.871231440458626,21.871231440458626,46.53739007406503
2025-01-04,36.48707262338055,Simple exponential smoothing,25.125885083803265,6.8798880312320065,43.37188213637452,-2.7789593614271944,53.03072952903372,11.361187539577283,11.361187539577283,31.137569343661593
2025-01-05,39.86408639106409,Simple exponential smoothing,25.125885083803265,4.72634236228031,45.52542780532622,-6.072523244214743,56.32429341182127,14.738201307260827,14.738201307260827,36.97112524461249
2025-01-06,46.99033078880406,Simple exponential smoothing,25.125885083803265,2.779380255261483,47.47238991234505,-9.050144833244996,59.30191500085152,21.864445705000794,21.864445705000794,46.52966969581374
2025-01-07,40.55820242080866,Simple exponential smoothing,25.125885083803265,0.9889587497224817,49.26281141788405,-11.788358232025548,62.04012839963208,15.432317337005397,15.432317337005397,38.04980599704227
2025-01-08,38.662414494361265,Simple exponential smoothing,25.125885083803265,-0.6775284047575738,50.929298572364104,-14.337030397309459,64.58880056491599,13.536529410558,13.536529410558,35.01211599842591
2025-01-09,38.2069654078816,Simple exponential smoothing,25.125885083803265,-2.242729833039796,52.494500000646326,-16.73079941173079,66.98256957933732,13.081080324078332,13.081080324078332,34.23742290032769
2025-01-10,46.28516506987247,Simple exponential smoothing,25.125885083803265,-3.7231359961440695,53.9749061637506,-18.994885259062638,69.24665542666916,21.159279986069205,21.159279986069205,45.715036241368004
2025-01-11,39.15182619768857,Simple exponential smoothing,25.125885083803265,-5.131195939918218,55.38296610752475,-21.148327111945132,71.40009727955166,14.025941113885306,14.025941113885306,35.824487580896964
2025-01-12,55.702100621907306,Simple exponential smoothing,25.125885083803265,-6.476581384509739,56.728351552116266,-23.20591658990205,73.45768675750858,30.57621553810404,30.57621553810404,54.89239220195333
2025-01-13,40.13026259504064,Simple exponential smoothing,25.125885083803265,-7.766983773832866,58.0187539414394,-25.179416741308753,75.43118690891528,15.004377511237376,15.004377511237376,37.38918347644114
2025-01-14,37.79069767441859,Simple exponential smoothing,25.125885083803265,-9.008639323172876,59.26040949077941,-27.078365034408886,77.33013520201541,12.664812590615323,12.664812590615323,33.513042547474406
2025-01-15,26.752365648991248,Simple exponential smoothing,25.125885083803265,-10.206687583570545,60.45845775117708,-28.910621734218264,79.16239190182479,1.6264805651879826,1.6264805651879826,6.079763511490851
2025-01-16,28.004024042379797,Simple exponential smoothing,25.125885083803265,-11.365423828046584,61.61719399565311,-30.682755893946062,80.93452606155259,2.878138958576532,2.878138958576532,10.277590657045964
2025-01-17,35.1764361302482,Simple exponential smoothing,25.125885083803265,-12.48848133256553,62.740251500172064,-32.400324129672256,82.65209429727878,10.050551046444934,10.050551046444934,28.57182862195204
2025-01-18,40.97913845415431,Simple exponential smoothing,25.125885083803265,-13.578965977913203,63.83073614551974,-34.06807647615477,84.31984664376131,15.853253370351045,15.853253370351045,38.68615585485522
2025-01-19,32.927906229929356,Simple exponential smoothing,25.125885083803265,-14.639557583347507,64.89132775095403,-35.69011136327491,85.94188153088143,7.802021146126091,7.802021146126091,23.694252199474967
2025-01-20,21.786288663649614,Simple exponential smoothing,25.125885083803265,-15.672587501812682,65.92435766941921,-37.26999428767654,87.52176445528306,-3.3395964201536508,3.3395964201536508,15.328890898823726
2025-01-21,23.7448504333582,Simple exponential smoothing,25.125885083803265,-16.680098939109744,66.93186910671628,-38.81085006297674,89.06262023058328,-1.3810346504450663,1.3810346504450663,5.816143817460755
2025-01-22,23.895587383895077,Simple exponential smoothing,25.125885083803265,-17.663894477779653,67.91566464538619,-40.315435501273015,90.56720566887955,-1.2302976999081885,1.2302976999081885,5.148639705493798
2025-01-23,29.922319323068393,Simple exponential smoothing,25.125885083803265,-18.625573974537414,68.87734414214394,-41.786197372267125,92.03796753987366,4.796434239265128,4.796434239265128,16.029620523324045
2025-01-24,32.14623706011678,Simple exponential smoothing,25.125885083803265,-19.566565112381564,69.81833527998809,-43.22531912868445,93.47708929629098,7.020351976313517,7.020351976313517,21.838798622634226
2025-01-25,35.47392254840723,Simple exponential smoothing,25.125885083803265,-20.488148275934424,70.73991844354096,-44.63475894982383,94.88652911743037,10.348037464603966,10.348037464603966,29.17082950294875
2025-01-26,48.748572934047594,Simple exponential smoothing,25.125885083803265,-21.391476988309808,71.64324715591634,-46.016280997049705,96.26805116465624,23.62268785024433,23.62268785024433,48.458214114705854
