date,actual,model,forecast,lower_80,upper_80,lower_95,upper_95,error,abs_error,pct_error
2025-01-01,28.859294836808203,ARIMA,36.47912535056002,28.635604620183205,44.32264608093683,24.483495555516214,48.47475514560382,-7.619830513751815,7.619830513751815,26.4033842713066
2025-01-02,33.983246678220674,ARIMA,42.2570917805253,32.143970445599464,52.370213115451136,26.79040739524651,57.72377616580409,-8.273845102304627,8.273845102304627,24.34683531166904
2025-01-03,46.99711652426189,ARIMA,42.98375176962541,32.38481536173486,53.582688177515955,26.7740773465225,59.19342619272831,4.013364754636484,4.013364754636484,8.539597855039927
2025-01-04,36.48707262338055,ARIMA,40.079619160710536,29.3316868545269,50.82755146689417,23.642075175156936,56.51716314626414,-3.592546537329987,3.592546537329987,9.84608048557976
2025-01-05,39.86408639106409,ARIMA,35.292507793458014,24.460841559282073,46.124174027633956,18.726903815968594,51.85811177094743,4.571578597606077,4.571578597606077,11.467912628823822
2025-01-06,46.99033078880406,ARIMA,31.516135112236096,20.650701361317715,42.38156886315448,14.898888174414903,48.13338205005729,15.474195676567962,15.474195676567962,32.93059533059268
2025-01-07,40.55820242080866,ARIMA,32.017740594036354,20.88166351361942,43.15381767445329,14.986580402363565,49.048900785709144,8.540461826772308,8.540461826772308,21.05729868932891
2025-01-08,38.662414494361265,ARIMA,35.08760666537004,23.24324218581249,46.93197114492759,16.973214374152963,53.20199895658712,3.5748078289912257,3.5748078289912257,9.24620946659344
2025-01-09,38.2069654078816,ARIMA,37.87926358895297,25.338300778268362,50.420226399637585,18.699516085033586,57.05901109287236,0.3277018189286238,0.3277018189286238,0.8577017709473028
2025-01-10,46.28516506987247,ARIMA,38.96312731579475,25.971034214861852,51.95522041672765,19.093435571632483,58.83281905995702,7.322037754077719,7.322037754077719,15.819405079412183
2025-01-11,39.15182619768857,ARIMA,38.16022030273465,24.89088355764623,51.42955704782307,17.86652099454077,58.45391961092853,0.9916058949539206,0.9916058949539206,2.5327193933356362
2025-01-12,55.702100621907306,ARIMA,36.192490001193086,22.756697007069825,49.62828299531635,15.644217828448667,56.740762173937505,19.50961062071422,19.50961062071422,35.02491001756082
2025-01-13,40.13026259504064,ARIMA,34.6322728853758,21.040742277081577,48.22380349367002,13.845820585494977,55.41872518525662,5.497989709664843,5.497989709664843,13.700358168960232
2025-01-14,37.79069767441859,ARIMA,34.45578398545938,20.621298030516545,48.29026994040221,13.297763547327037,55.613804423591716,3.3349136889592117,3.3349136889592117,8.824694684630533
2025-01-15,26.752365648991248,ARIMA,35.38903435687069,21.20411586667521,49.57395284706617,13.695073605002804,57.08299510873857,-8.63666870787944,8.63666870787944,32.28375696264866
2025-01-16,28.004024042379797,ARIMA,36.55867976586346,21.993006374895245,51.124353156831674,14.282404644043126,58.83495488768379,-8.554655723483663,8.554655723483663,30.547951646297346
2025-01-17,35.1764361302482,ARIMA,37.21947315935844,22.31498103696101,52.12396528175586,14.425019503998872,60.013926814718005,-2.0430370291102378,2.0430370291102378,5.807970487815937
2025-01-18,40.97913845415431,ARIMA,37.064511510207296,21.890674765650985,52.23834825476361,13.858130802473035,60.27089221794156,3.914626943947013,3.914626943947013,9.552731198403619
2025-01-19,32.927906229929356,ARIMA,36.36031936768616,20.970571171680213,51.750067563692106,12.823730590242882,59.89690814512944,-3.4324131377568037,3.4324131377568037,10.424024879653478
2025-01-20,21.786288663649614,ARIMA,35.693047160375606,20.099274808196128,51.286819512555084,11.844430362501978,59.54166395824923,-13.906758496725992,13.906758496725992,63.832618356560175
2025-01-21,23.7448504333582,ARIMA,35.48171614230118,19.65993230304757,51.30349998155479,11.284385867153759,59.6790464174486,-11.736865708942982,11.736865708942982,49.42909934043773
