model_family,forecasting_setup,model,lag,acf,n,ci,significance
ARIMA-family,Full test-year forecast,Logit Fourier ARIMA,16,0.31521409693050223,365,0.10259108882768189,Significant
ARIMA-family,Full test-year forecast,Logit Fourier ARIMA,17,0.30867311824425936,365,0.10259108882768189,Significant
ARIMA-family,Full test-year forecast,Logit Fourier ARIMA,18,0.3311017749388104,365,0.10259108882768189,Significant
ARIMA-family,Full test-year forecast,Logit Fourier ARIMA,19,0.33082016356232213,365,0.10259108882768189,Significant
ARIMA-family,Full test-year forecast,Logit Fourier ARIMA,20,0.32322408530160024,365,0.10259108882768189,Significant
ARIMA-family,Full test-year forecast,Logit Fourier ARIMA,21,0.35809609690594146,365,0.10259108882768189,Significant
ARIMA-family,Full test-year forecast,Logit Fourier ARIMA,22,0.30614179508735706,365,0.10259108882768189,Significant
ARIMA-family,Full test-year forecast,Logit Fourier ARIMA,23,0.2914921368019076,365,0.10259108882768189,Significant
ARIMA-family,Full test-year forecast,Logit Fourier ARIMA,24,0.27107348748552207,365,0.10259108882768189,Significant
ARIMA-family,Full test-year forecast,Logit Fourier ARIMA,25,0.23829887658702045,365,0.10259108882768189,Significant
ARIMA-family,Full test-year forecast,Logit Fourier ARIMA,26,0.2184123345536363,365,0.10259108882768189,Significant
ARIMA-family,Full test-year forecast,Logit Fourier ARIMA,27,0.19711272530105972,365,0.10259108882768189,Significant
ARIMA-family,Full test-year forecast,Logit Fourier ARIMA,28,0.2333503726762878,365,0.10259108882768189,Significant
ARIMA-family,Full test-year forecast,Logit Fourier ARIMA,29,0.24614313543806174,365,0.10259108882768189,Significant
ARIMA-family,Full test-year forecast,Logit Fourier ARIMA,30,0.259682134342611,365,0.10259108882768189,Significant
ARIMA-family,Full test-year forecast,Logit Fourier ARIMA,31,0.2098154317806844,365,0.10259108882768189,Significant
ARIMA-family,Full test-year forecast,Logit Fourier ARIMA,32,0.18706267717785402,365,0.10259108882768189,Significant
ARIMA-family,Full test-year forecast,Logit Fourier ARIMA,33,0.17638632695059517,365,0.10259108882768189,Significant
ARIMA-family,Full test-year forecast,Logit Fourier ARIMA,34,0.14976675687288793,365,0.10259108882768189,Significant
ARIMA-family,Full test-year forecast,Logit Fourier ARIMA,35,0.1544109668272787,365,0.10259108882768189,Significant
ARIMA-family,Full test-year forecast,Logit Fourier ARIMA,36,0.1015260893494695,365,0.10259108882768189,Not significant
ARIMA-family,Full test-year forecast,Logit Fourier ARIMA,37,0.10892859935084125,365,0.10259108882768189,Significant
ARIMA-family,Full test-year forecast,Logit Fourier ARIMA,38,0.08250482194109114,365,0.10259108882768189,Not significant
ARIMA-family,Full test-year forecast,Logit Fourier ARIMA,39,0.06561145795146481,365,0.10259108882768189,Not significant
ARIMA-family,Full test-year forecast,Logit Fourier ARIMA,40,0.042142985933502096,365,0.10259108882768189,Not significant
ARIMA-family,Full test-year forecast,Logit Fourier ARIMA,41,0.017818479409718174,365,0.10259108882768189,Not significant
ARIMA-family,Full test-year forecast,Logit Fourier ARIMA,42,0.06350109059661833,365,0.10259108882768189,Not significant
Regression/ML,One-step-ahead operational forecast,Elastic Net,1,0.016557450037953877,365,0.10259108882768189,Not significant
Regression/ML,One-step-ahead operational forecast,Elastic Net,2,-0.018173866993028802,365,0.10259108882768189,Not significant
Regression/ML,One-step-ahead operational forecast,Elastic Net,3,0.12425508275834218,365,0.10259108882768189,Significant
Regression/ML,One-step-ahead operational forecast,Elastic Net,4,0.09915275386590908,365,0.10259108882768189,Not significant
Regression/ML,One-step-ahead operational forecast,Elastic Net,5,-0.05381684015867118,365,0.10259108882768189,Not significant
Regression/ML,One-step-ahead operational forecast,Elastic Net,6,-0.08615617469888,365,0.10259108882768189,Not significant
Regression/ML,One-step-ahead operational forecast,Elastic Net,7,0.026743583701418057,365,0.10259108882768189,Not significant
