model,mean_error,sd_error,ljung_box_statistic,ljung_box_p_value
ARIMA,8.615654844046523,12.874053086255833,2149.0143405968124,0
Calendar ARIMA errors,-1.8391341379416983,9.484186425134034,1556.400724324439,0
Logit Fourier ARIMA,2.433525705164629,8.605630463152092,1057.465583584723,0
Logit Trend Fourier ARIMA errors,-2.9270998886247956,8.787790548798425,1126.1483863594026,0
Trend Fourier ARIMA errors,-3.1041678364120604,8.968103089217944,1230.0659646714837,0
Tuned Fourier ARIMA,2.137846627055932,8.757640137171519,1142.5325007321717,0
Weekly SARIMA,5.578621685846161,12.80593723050832,2144.2098397314758,0
