model,test_RMSE,test_MAE,test_MAPE,validation_RMSE,validation_MAE,validation_MAPE,RMSE_gap_test_minus_validation,generalization_flag
Logit Fourier ARIMA,8.931742689769568,7.299572630422774,17.474585103800827,11.811224115446164,9.337004272303945,23.995918754565363,-2.8794814256765964,Stable validation-test performance
Tuned Fourier ARIMA,9.003139576346152,7.393707744792614,17.89094867569522,10.392558286961014,8.27893186531515,21.716557781252128,-1.389418710614862,Stable validation-test performance
Logit Trend Fourier ARIMA errors,9.251032397806501,7.543662640096325,21.019071745947034,12.863219844897536,10.285659858096292,25.246919987288518,-3.612187447091035,Test period easier than validation
Trend Fourier ARIMA errors,9.478522214888965,7.722166052977759,21.64553419640793,12.875833210806134,10.30323074334333,25.51675487082521,-3.3973109959171683,Test period easier than validation
Calendar ARIMA errors,9.648096638059547,7.965485970285643,21.634883358759968,20.605485088877042,17.674638275470166,47.29705691388186,-10.957388450817495,Test period easier than validation
Weekly SARIMA,13.952195348300974,11.391435196907535,25.889237395446187,13.361885927110023,10.487404694779334,25.2322888440636,0.5903094211909501,Stable validation-test performance
ARIMA,15.476325974293049,12.525433743127369,26.789017657395302,16.28644310512618,13.131760308635746,30.995948254878375,-0.8101171308331327,Stable validation-test performance
