model,mean_error,sd_error,ljung_box_statistic,ljung_box_p_value
Random Forest,-0.04975261674790939,5.534635752073885,53.36337275234692,1.6498340634774067e-6
Ridge regression,-0.8187074537883624,5.17717765113992,33.15230795245271,0.0027388006624218253
GAM,1.6873668597095697,5.208545185112596,31.516106626090178,0.00469080956104817
Lagged linear regression,-0.8836203909942311,5.126719381823199,21.519614801213653,0.08903880277366694
Lasso regression,-0.7374330943738969,5.106083762274678,20.77302251266218,0.10759209667947556
Elastic Net,-0.7374445075064242,5.105714524802738,20.73856255966428,0.10852223109709602
