alpha,lambda,validation_RMSE,validation_MAE,validation_MAPE,model
0,8073.7033438151775,15.258711023231754,12.486372367142824,25.023249992882654,Ridge regression
0,7356.457790809477,15.162636905955045,12.407404912083383,24.875551516430203,Ridge regression
0,6702.930355921226,15.153372449347392,12.39978189269739,24.861292599283498,Ridge regression
0,6107.460497151362,15.143225388414372,12.391430982695304,24.845671937966067,Ridge regression
0,5564.890539450911,15.132113905267445,12.38228436733999,24.828562626824546,Ridge regression
0,5070.5210014071035,15.119948962534476,12.372268177720779,24.809826415546176,Ridge regression
0,4620.069890583568,15.106633831120151,12.361302079174449,24.789312941959654,Ridge regression
0,4209.63561495031,15.092063532649263,12.349298784377499,24.766858817629366,Ridge regression
0,3835.663189160047,15.076124263805816,12.336163546107333,24.742286674710606,Ridge regression
0,3494.913442965795,15.058692807275003,12.32179363256688,24.715404179350102,Ridge regression
0,3184.434965077788,15.039635935495825,12.306077789244968,24.686003018910487,Ridge regression
0,2901.538539450809,15.018809815210997,12.288895692572089,24.653857872680923,Ridge regression
0,2643.77385258131,14.996059422889523,12.270117402153627,24.618725378555958,Ridge regression
0,2408.908270064052,14.97121798352569,12.249602820145347,24.580343111468373,Ridge regression
0,2194.907498580957,14.94410431242881,12.227216502508497,24.538471009274577,Ridge regression
0,1999.9179658255791,14.914530245276863,12.202803876479882,24.49282328621343,Ridge regression
0,1822.2507657465173,14.882289188702895,12.176171987268594,24.44302358006934,Ridge regression
0,1660.3670300511576,14.847162768133453,12.147135508772262,24.38872469438221,Ridge regression
0,1512.864599264702,14.808919042727739,12.115496828835559,24.329556314624607,Ridge regression
0,1378.4658778955811,14.767312527071455,12.081045865665313,24.265124637322764,Ridge regression
0,1256.0067685144952,14.722084422483698,12.043560025451303,24.195012258601892,Ridge regression
0,1144.4265888993768,14.672963102495952,12.002804334334645,24.11877838350991,Ridge regression
0,1042.7588849134042,14.619664901778327,11.95853178176258,24.035959424720733,Ridge regression
0,950.1230595416116,14.561895262071369,11.910605118761671,23.946391100466798,Ridge regression
0,865.716745580816,14.499350292165492,11.858810854283524,23.849714971339086,Ridge regression
0,788.8088559187481,14.431718801198468,11.803050687000805,23.745881926216367,Ridge regression
0,718.7332512072325,14.358684864956054,11.742734655954644,23.63355108206771,Ridge regression
0,654.8829700818281,14.279930982807553,11.67757432402941,23.51218153591134,Ridge regression
0,596.704971952856,14.195141877643733,11.607278174463843,23.38122592030982,Ridge regression
0,543.69534683238,14.10400898190189,11.531554641619115,23.240135936990306,Ridge regression
0,495.39495070695824,14.006235638631631,11.450141550328189,23.08843652030246,Ridge regression
0,451.385428651849,13.901543026781912,11.363196729961869,22.92674397803077,Ridge regression
0,411.28559124079027,13.789676793806253,11.27011235859157,22.75366204867471,Ridge regression
0,374.74811286554694,13.670414345851135,11.170933652898311,22.56948751341668,Ridge regression
0,341.45652336765016,13.54357270614148,11.06508026669712,22.37286174705251,Ridge regression
0,311.12246692528106,13.409016806147765,10.95317183457173,22.165506225126386,Ridge regression
0,283.48320445308923,13.266668022818761,10.83486277938369,21.946635851162874,Ridge regression
0,258.29933788192756,13.116512720506519,10.709488555215568,21.71460253845888,Ridge regression
0,235.35273660730311,12.958610501018306,10.577897046109515,21.471568991797035,Ridge regression
0,214.44464814643308,12.793101813279215,10.439789244318883,21.21678467537399,Ridge regression
0,195.3939766393203,12.620193706098624,10.294929600831217,20.949610777886193,Ridge regression
0,178.0357142830486,12.440235180015788,10.143174529226556,20.669543259755557,Ridge regression
0,162.21951211313234,12.253629041860128,9.98493632453552,20.377486595322548,Ridge regression
0,147.80837775271166,12.060886587248651,9.82178498430384,20.077101750952284,Ridge regression
0,134.6774888501201,11.862613955398087,9.652854906724487,19.766001665445145,Ridge regression
0,122.71311192738852,11.659507580945998,9.47848471311568,19.444722322378183,Ridge regression
0,111.81161727526785,11.452346591295502,9.300248927716481,19.116753249775524,Ridge regression
0,101.87858136226329,11.241982127693182,9.117633243334906,18.780624365016386,Ridge regression
0,92.82796898317594,11.029323726834122,8.932154567826515,18.439618839882893,Ridge regression
0,84.58138806331372,10.815323067913656,8.746648191466772,18.10047978344002,Ridge regression
0,77.06741066384268,10.600955555478475,8.564712290818596,17.770412842871693,Ridge regression
0,70.22095430715115,10.387200359253354,8.38469665329098,17.445010531450958,Ridge regression
0,63.982718263563676,10.175019658352486,8.206485483631946,17.123392764819044,Ridge regression
0,58.29866991678953,9.965337932030017,8.027524762734993,16.79964254547156,Ridge regression
0,53.1195767592491,9.759022198378494,7.848378467121921,16.474703993059684,Ridge regression
0,48.4005799636457,9.556864123228033,7.672370234190744,16.156006889460517,Ridge regression
0,44.10080583726354,9.35956489917018,7.502298964946224,15.848689277946555,Ridge regression
0,40.18301179359511,9.167723719768608,7.338992040508176,15.554341928796125,Ridge regression
0,36.61326377487333,8.981830531747267,7.181805690952635,15.271491808391957,Ridge regression
0,33.36064233149699,8.802263520143766,7.028413778827262,14.995042340211405,Ridge regression
0,30.396974812549857,8.62929145296404,6.8798877104189895,14.727045779922314,Ridge regression
0,27.69659134777603,8.462755773043494,6.737894221478039,14.47093582084869,Ridge regression
0,25.236102507444024,8.30355414229853,6.6019437819358116,14.225632024771611,Ridge regression
0,22.994196714295704,8.151237494143244,6.47255141990689,13.991929016913144,Ridge regression
0,20.9514556528594,8.005715241936644,6.351175803624773,13.772777740623704,Ridge regression
0,19.09018607729082,7.866836086079991,6.237198497704528,13.566228661601578,Ridge regression
0,17.394266560941844,7.734404482682217,6.126157572870628,13.363759891164205,Ridge regression
0,15.849007860275263,7.60819614466564,6.021231057057319,13.172556150718309,Ridge regression
0,14.441025683664462,7.487970933224219,5.919058804870228,12.985218405006325,Ridge regression
0,13.158124763062277,7.373481962190483,5.822396774309381,12.807172624568855,Ridge regression
0,11.989193224423294,7.264480757291234,5.730306355448578,12.636776234204074,Ridge regression
0,10.924106341966677,7.16071955949158,5.641237635859752,12.471203639129284,Ridge regression
0,9.953638842645054,7.061952689372471,5.556101400045179,12.311916293336553,Ridge regression
0,9.069385001242654,6.9679387522640654,5.4754529238216945,12.15989659851669,Ridge regression
0,8.263685834004738,6.878444408532323,5.397809806858913,12.012371408925748,Ridge regression
0,7.529562760184282,6.793249162264463,5.326093073655319,11.875315238051792,Ridge regression
