model,RMSE,MAE,MAPE,rank
Logit Fourier ARIMA,8.931742689769568,7.299572630422774,17.474585103800827,1
Tuned Fourier ARIMA,9.003139576346152,7.393707744792614,17.89094867569522,2
Logit Trend Fourier ARIMA errors,9.251032397806501,7.543662640096325,21.019071745947034,3
Trend Fourier ARIMA errors,9.478522214888965,7.722166052977759,21.64553419640793,4
Calendar ARIMA errors,9.648096638059547,7.965485970285643,21.634883358759968,5
Weekly SARIMA,13.952195348300974,11.391435196907535,25.889237395446187,6
ARIMA,15.476325974293049,12.525433743127369,26.789017657395302,7
