model,test_RMSE,test_MAE,test_MAPE,validation_RMSE,validation_MAE,validation_MAPE,RMSE_gap_test_minus_validation,generalization_flag
Elastic Net,5.151769128505535,4.072989130211519,10.103003277082028,5.599894740255794,4.29356185354737,9.703803831768456,-0.44812561175025944,Stable validation-test performance
Lasso regression,5.15213242926464,4.072185094459743,10.098560091918454,5.599534901906677,4.293058432362471,9.701326302206928,-0.4474024726420369,Stable validation-test performance
Lagged linear regression,5.195385231798947,4.129875729644943,10.25761397688791,5.644742837973011,4.378981698295073,9.92624987068395,-0.44935760617406384,Stable validation-test performance
Ridge regression,5.234502554033466,4.197715992881751,10.541745606972349,5.719278844690674,4.44606878829333,10.13285964888591,-0.48477629065720773,Stable validation-test performance
GAM,5.468256028527064,4.180979212005994,9.547711916191847,6.800428104630041,5.663255775573007,14.066346638662823,-1.3321720761029772,Stable validation-test performance
Random Forest,5.527272782740243,4.409551048590481,10.795915753304646,6.685638214165724,5.162340095028386,11.34086010799529,-1.158365431425481,Stable validation-test performance
