model,RMSE,MAE,MAPE,rank
Elastic Net,5.151769128505535,4.072989130211519,10.103003277082028,1
Lasso regression,5.15213242926464,4.072185094459743,10.098560091918454,2
Lagged linear regression,5.195385231798947,4.129875729644943,10.25761397688791,3
Ridge regression,5.234502554033466,4.197715992881751,10.541745606972349,4
GAM,5.468256028527064,4.180979212005994,9.547711916191847,5
Random Forest,5.527272782740243,4.409551048590481,10.795915753304646,6
