model,mean_error,sd_error,ljung_box_statistic,ljung_box_p_value
Mean,5.1849301149108635,12.845880605785812,2160.4262766940055,0
Naive,19.67625006091808,12.845880605785812,2160.4262766940055,0
Previous-year naive,-2.3286942250824096,11.474665626137925,296.3970715188671,0
TSLM,-4.235252638607714,8.536926364708027,1093.7064386571253,0
Weekly seasonal naive,3.9629691900880273,19.39815945442533,1058.748783631221,0
