model,coverage_80,coverage_95,avg_width_80,avg_width_95
Simple exponential smoothing,99.72602739726028,100,232.8544470545677,356.1201454059309
Damped Holt trend,99.72602739726028,100,233.21162806393534,356.66640662018386
Holt linear trend,99.72602739726028,100,236.53545018869167,361.74975389288716
Weekly ETS,99.45205479452055,99.72602739726028,160.39443373052174,245.3021180610296
