date,actual,model,forecast,error,abs_error,pct_error
2025-01-01,28.859294836808203,Mean,39.61730701001261,-10.758012173204406,10.758012173204406,37.2774602915219
2025-01-02,33.983246678220674,Mean,39.61730701001261,-5.634060331791936,5.634060331791936,16.57893486499251
2025-01-03,46.99711652426189,Mean,39.61730701001261,7.379809514249281,7.379809514249281,15.70268573911234
2025-01-04,36.48707262338055,Mean,39.61730701001261,-3.130234386632061,3.130234386632061,8.57902309385664
2025-01-05,39.86408639106409,Mean,39.61730701001261,0.246779381051482,0.246779381051482,0.6190518920478757
2025-01-06,46.99033078880406,Mean,39.61730701001261,7.373023778791449,7.373023778791449,15.690512611901317
2025-01-07,40.55820242080866,Mean,39.61730701001261,0.9408954107960525,0.9408954107960525,2.319864675051081
2025-01-08,38.662414494361265,Mean,39.61730701001261,-0.9548925156513448,0.9548925156513448,2.4698212156165558
2025-01-09,38.2069654078816,Mean,39.61730701001261,-1.4103416021310125,1.4103416021310125,3.6913206455283607
2025-01-10,46.28516506987247,Mean,39.61730701001261,6.66785805985986,6.66785805985986,14.406037117495435
2025-01-11,39.15182619768857,Mean,39.61730701001261,-0.4654808123240386,0.4654808123240386,1.1889121339415822
2025-01-12,55.702100621907306,Mean,39.61730701001261,16.084793611894696,16.084793611894696,28.87645785762098
2025-01-13,40.13026259504064,Mean,39.61730701001261,0.5129555850280312,0.5129555850280312,1.278226335582023
2025-01-14,37.79069767441859,Mean,39.61730701001261,-1.8266093355940214,1.8266093355940214,4.833489318802643
2025-01-15,26.752365648991248,Mean,39.61730701001261,-12.864941361021362,12.864941361021362,48.08898596041155
2025-01-16,28.004024042379797,Mean,39.61730701001261,-11.613282967632813,11.613282967632813,41.47005069720655
2025-01-17,35.1764361302482,Mean,39.61730701001261,-4.440870879764411,4.440870879764411,12.624561690448536
2025-01-18,40.97913845415431,Mean,39.61730701001261,1.3618314441416999,1.3618314441416999,3.323231028063848
2025-01-19,32.927906229929356,Mean,39.61730701001261,-6.689400780083254,6.689400780083254,20.315293457690355
2025-01-20,21.786288663649614,Mean,39.61730701001261,-17.831018346362995,17.831018346362995,81.84513948956355
2025-01-21,23.7448504333582,Mean,39.61730701001261,-15.872456576654411,15.872456576654411,66.84588989600805
2025-01-22,23.895587383895077,Mean,39.61730701001261,-15.721719626117533,15.721719626117533,65.7934009888098
2025-01-23,29.922319323068393,Mean,39.61730701001261,-9.694987686944216,9.694987686944216,32.40052210615217
2025-01-24,32.14623706011678,Mean,39.61730701001261,-7.471069949895828,7.471069949895828,23.240884884672987
2025-01-25,35.47392254840723,Mean,39.61730701001261,-4.143384461605379,4.143384461605379,11.680085437271204
2025-01-26,48.748572934047594,Mean,39.61730701001261,9.131265924034984,9.131265924034984,18.7313502210388
2025-01-27,40.314434303013954,Mean,39.61730701001261,0.6971272930013441,0.6971272930013441,1.729225040742358
2025-01-28,45.09451078954806,Mean,39.61730701001261,5.477203779535451,5.477203779535451,12.146054328202068
2025-01-29,35.581240140759625,Mean,39.61730701001261,-4.036066869252984,4.036066869252984,11.343243949019978
2025-01-30,34.54309211983404,Mean,39.61730701001261,-5.074214890178567,5.074214890178567,14.68952134503628
2025-01-31,31.57414514750822,Mean,39.61730701001261,-8.043161862504391,8.043161862504391,25.47388638687862
2025-02-01,37.88281542493448,Mean,39.61730701001261,-1.734491585078132,1.734491585078132,4.578570957892663
2025-02-02,45.81435927990806,Mean,39.61730701001261,6.197052269895451,6.197052269895451,13.526440983347278
2025-02-03,31.590679975578233,Mean,39.61730701001261,-8.026627034434377,8.026627034434377,25.4082122975495
2025-02-04,36.36481446817088,Mean,39.61730701001261,-3.2524925418417325,3.2524925418417325,8.94406472137662
2025-02-05,35.228183672034326,Mean,39.61730701001261,-4.389123337978283,4.389123337978283,12.459124713439486
2025-02-06,30.533011317363595,Mean,39.61730701001261,-9.084295692649015,9.084295692649015,29.75237390844228
2025-02-07,30.585562543255204,Mean,39.61730701001261,-9.031744466757406,9.031744466757406,29.529437145334136
2025-02-08,37.71872504174835,Mean,39.61730701001261,-1.89858196826426,1.89858196826426,5.03352636167539
2025-02-09,39.04062335132503,Mean,39.61730701001261,-0.5766836586875783,0.5766836586875783,1.4771374255426835
2025-02-10,27.01002378013907,Mean,39.61730701001261,-12.607283229873541,12.607283229873541,46.676312958835275
2025-02-11,22.984204964154124,Mean,39.61730701001261,-16.633102045858486,16.633102045858486,72.36753271126524
2025-02-12,23.460060389788648,Mean,39.61730701001261,-16.15724662022396,16.15724662022396,68.87129168370194
2025-02-13,23.699950929032788,Mean,39.61730701001261,-15.917356080979822,15.917356080979822,67.16197906334408
2025-02-14,29.992376619968255,Mean,39.61730701001261,-9.624930390044355,9.624930390044355,32.09125609484475
2025-02-15,42.355131884652174,Mean,39.61730701001261,2.737824874639564,2.737824874639564,6.463974382362019
2025-02-16,45.32495401594115,Mean,39.61730701001261,5.707647005928543,5.707647005928543,12.59272541991133
2025-02-17,26.715772079931668,Mean,39.61730701001261,-12.901534930080942,12.901534930080942,48.29182885480711
2025-02-18,24.65532112980736,Mean,39.61730701001261,-14.961985880205251,14.961985880205251,60.68461165617013
2025-02-19,23.702252693437824,Mean,39.61730701001261,-15.915054316574786,15.915054316574786,67.14574569100348
2025-02-20,25.606667779818572,Mean,39.61730701001261,-14.010639230194037,14.010639230194037,54.71480846577104
