model,coverage_80,coverage_95,avg_width_80,avg_width_95
ARIMA,97.80821917808218,100,74.74596970864971,114.3140959421478
Logit Fourier ARIMA,78.35616438356165,97.26027397260275,23.641891289891255,35.28333814791271
Tuned Fourier ARIMA,78.9041095890411,96.43835616438356,23.366215376166274,35.735542621595805
Trend Fourier ARIMA errors,73.42465753424658,93.42465753424658,21.450347432485437,32.805475451685616
Logit Trend Fourier ARIMA errors,75.06849315068493,93.42465753424658,22.46918792713558,33.61350327455861
Calendar ARIMA errors,70.68493150684931,92.6027397260274,21.524062371043584,32.91821272155517
Weekly SARIMA,77.8082191780822,91.78082191780823,33.873257849288194,51.80467739932936
