fold,weekly_k,yearly_k,n_fourier_terms,validation_RMSE,validation_MAE,validation_MAPE,AICc,specification,status
"Train 2021, validate 2022",2,8,20,9.732199159711,8.301370194919745,28.46962367446691,2101.0787143453726,"Series: train_y  Regression with ARIMA(2,0,0) errors   Coefficients:          ar1      ar2  intercept  fourier_1  fourier_2  fourier_3  fourier_4  fourier_5  fourier_6       0.6334  -0.1206    37.6264     2.2838    -2.4536    -1.8188     0.1049     4.6214    -6.6276 s.e.  0.0520   0.0528     0.4298     0.4291     0.4294     0.2412     0.2413     0.6085     0.6069       fourier_7  fourier_8  fourier_9  fourier_10  fourier_11  fourier_12  fourier_13  fourier_14          0.3894     1.5474     2.0676      1.1552      0.1044     -1.5229      0.0298      2.9195 s.e.     0.6083     0.6066     0.6078      0.6062      0.6072      0.6056      0.6065      0.6048       fourier_15  fourier_16  fourier_17  fourier_18  fourier_19  fourier_20          -0.6541     -1.6188     -1.1894     -2.1307     -0.1249      1.5422 s.e.      0.6055      0.6039      0.6044      0.6028      0.6031      0.6015  sigma^2 = 17.14:  log likelihood = -1024.77 AIC=2097.55   AICc=2101.08   BIC=2191.15",ok
"Train 2021, validate 2022",3,8,22,9.713342123271815,8.287977924522124,28.42553753613026,2090.1816404556002,"Series: train_y  Regression with ARIMA(2,0,0) errors   Coefficients:          ar1      ar2  intercept  fourier_1  fourier_2  fourier_3  fourier_4  fourier_5  fourier_6       0.6680  -0.1536    37.6237     2.2871    -2.4517    -1.8187     0.1042     0.5912     0.3249 s.e.  0.0517   0.0525     0.4222     0.4370     0.4373     0.2345     0.2345     0.1665     0.1665       fourier_7  fourier_8  fourier_9  fourier_10  fourier_11  fourier_12  fourier_13  fourier_14          4.6213    -6.6330     0.3892      1.5420      2.0673      1.1498      0.1040     -1.5282 s.e.     0.5977     0.5963     0.5976      0.5961      0.5973      0.5958      0.5969      0.5954       fourier_15  fourier_16  fourier_17  fourier_18  fourier_19  fourier_20  fourier_21  fourier_22           0.0293      2.9142     -0.6547     -1.6240     -1.1902     -2.1359     -0.1257      1.5372 s.e.      0.5963      0.5949      0.5957      0.5942      0.5949      0.5935      0.5940      0.5926  sigma^2 = 16.52:  log likelihood = -1017.01 AIC=2086.03   AICc=2090.18   BIC=2187.43",ok
"Train 2021-2022, validate 2023",1,2,6,12.50219030541839,9.690104760726792,21.472131277599555,4455.956100125086,"Series: train_y  Regression with ARIMA(0,1,3) errors   Coefficients:           ma1      ma2      ma3  fourier_1  fourier_2  fourier_3  fourier_4  fourier_5  fourier_6       -0.2444  -0.4349  -0.0734     3.1515    -3.0023     2.4444    -5.6644    -1.5003     0.7941 s.e.   0.0377   0.0360   0.0436     0.3666     0.3667     3.9010     3.8333     1.9832     1.9499  sigma^2 = 26:  log likelihood = -2217.82 AIC=4455.65   AICc=4455.96   BIC=4501.57",ok
"Train 2021-2022, validate 2023",2,2,8,12.854116219821618,10.013892216508381,21.987110517092827,4348.468500559556,"Series: train_y  Regression with ARIMA(1,1,4) errors   Coefficients:          ar1      ma1      ma2     ma3     ma4  fourier_1  fourier_2  fourier_3  fourier_4  fourier_5       0.8712  -1.1183  -0.1249  0.1407  0.1082     3.1553    -2.9879    -2.1331    -0.0518     2.1991 s.e.  0.0437   0.0577   0.0568  0.0613  0.0428     0.3397     0.3397     0.1978     0.1979     1.2374       fourier_6  fourier_7  fourier_8         -5.6545    -1.6262     0.8070 s.e.     1.1312     1.0123     0.9752  sigma^2 = 22.27:  log likelihood = -2159.94 AIC=4347.88   AICc=4348.47   BIC=4412.16",ok
"Train 2021-2022, validate 2023",3,2,10,17.4781661270785,15.221058227840187,34.376568810476854,4445.67880305515,"Series: train_y  Regression with ARIMA(0,1,0) errors   Coefficients:       fourier_1  fourier_2  fourier_3  fourier_4  fourier_5  fourier_6  fourier_7  fourier_8  fourier_9          3.1611    -2.9942    -2.1418    -0.0496     0.7394     0.2545     0.5902    -5.6372    -2.4278 s.e.     0.3036     0.3033     0.1683     0.1685     0.1351     0.1350    15.3235    15.2920     7.6620       fourier_10           0.8241 s.e.      7.6463  sigma^2 = 25.63:  log likelihood = -2211.66 AIC=4445.31   AICc=4445.68   BIC=4495.82",ok
"Train 2021-2022, validate 2023",1,4,10,12.803427185327061,9.963696074691176,22.064540382587538,4434.578636659575,"Series: train_y  Regression with ARIMA(3,1,1) errors   Coefficients:          ar1      ar2     ar3      ma1  fourier_1  fourier_2  fourier_3  fourier_4  fourier_5  fourier_6       0.7017  -0.2620  0.2197  -0.9864     3.1488    -3.0080     2.2792    -5.6652    -1.5867     0.7961 s.e.  0.0368   0.0437  0.0367   0.0053     0.3210     0.3212     1.0575     0.9624     0.8365     0.8047       fourier_7  fourier_8  fourier_9  fourier_10          1.0863     1.5117    -0.2305     -1.3111 s.e.     0.7839     0.7671     0.7590      0.7479  sigma^2 = 25.02:  log likelihood = -2201.95 AIC=4433.91   AICc=4434.58   BIC=4502.78",ok
"Train 2021-2022, validate 2023",2,4,12,15.669145019374296,12.776160396879556,28.2803258246622,4362.2201513795235,"Series: train_y  Regression with ARIMA(0,1,5) errors   Coefficients:           ma1      ma2      ma3      ma4      ma5    drift  fourier_1  fourier_2  fourier_3  fourier_4       -0.2526  -0.3557  -0.1942  -0.1061  -0.0641  -0.0121     3.1579    -2.9815    -2.1357    -0.0513 s.e.   0.0374   0.0384   0.0436   0.0401   0.0350   0.0059     0.3711     0.3711     0.1957     0.1959       fourier_5  fourier_6  fourier_7  fourier_8  fourier_9  fourier_10  fourier_11  fourier_12          1.8603    -5.6672    -1.7940     0.7940     0.9493      1.5094     -0.3320     -1.3136 s.e.     0.8055     0.6904     0.6377     0.6023     0.6011      0.5841      0.5873      0.5772  sigma^2 = 22.5:  log likelihood = -2161.57 AIC=4361.15   AICc=4362.22   BIC=4448.39",ok
"Train 2021-2022, validate 2023",3,4,14,17.682424767320448,15.473192281123618,35.10289447734323,4453.740547578493,"Series: train_y  Regression with ARIMA(0,1,0) errors   Coefficients:       fourier_1  fourier_2  fourier_3  fourier_4  fourier_5  fourier_6  fourier_7  fourier_8  fourier_9          3.1611    -2.9942    -2.1418    -0.0496     0.7394     0.2546     0.5861    -5.6372    -2.4299 s.e.     0.3036     0.3032     0.1683     0.1684     0.1350     0.1350    15.3212    15.2892     7.6609       fourier_10  fourier_11  fourier_12  fourier_13  fourier_14           0.8242      0.5269      1.5394     -0.6474     -1.2836 s.e.      7.6449      5.1076      5.0969      3.8310      3.8230  sigma^2 = 25.76:  log likelihood = -2211.53 AIC=4453.07   AICc=4453.74   BIC=4521.94",ok
"Train 2021-2022, validate 2023",1,6,14,15.828509179812439,12.919917504393654,28.63041487154991,4454.914542249373,"Series: train_y  Regression with ARIMA(1,1,2) errors   Coefficients:          ar1      ma1      ma2    drift  fourier_1  fourier_2  fourier_3  fourier_4  fourier_5  fourier_6       0.3508  -0.6186  -0.3648  -0.0123     3.1513    -2.9967     1.8393    -5.6727    -1.8038     0.7886 s.e.  0.0600   0.0617   0.0591   0.0059     0.3962     0.3963     0.7828     0.6704     0.6145     0.5798       fourier_7  fourier_8  fourier_9  fourier_10  fourier_11  fourier_12  fourier_13  fourier_14          0.9434     1.5039    -0.3357     -1.3191     -0.2705      1.3144     -0.5363     -0.7179 s.e.     0.5777     0.5611     0.5638      0.5540      0.5568      0.5502      0.5524      0.5476  sigma^2 = 25.55:  log likelihood = -2207.92 AIC=4453.84   AICc=4454.91   BIC=4541.08",ok
"Train 2021-2022, validate 2023",2,6,16,15.927865271082963,13.043475021985907,28.909449633314708,4362.562250920859,"Series: train_y  Regression with ARIMA(0,1,5) errors   Coefficients:           ma1      ma2      ma3      ma4      ma5    drift  fourier_1  fourier_2  fourier_3  fourier_4       -0.2619  -0.3615  -0.1935  -0.1005  -0.0566  -0.0127     3.1556    -2.9827    -2.1361    -0.0512 s.e.   0.0374   0.0385   0.0437   0.0402   0.0352   0.0056     0.3685     0.3685     0.1953     0.1955       fourier_5  fourier_6  fourier_7  fourier_8  fourier_9  fourier_10  fourier_11  fourier_12  fourier_13          1.7952    -5.6685    -1.8266     0.7930     0.9278      1.5082     -0.3481     -1.3148     -0.2809 s.e.     0.7742     0.6671     0.6186     0.5859     0.5848      0.5692      0.5721      0.5627      0.5656       fourier_14  fourier_15  fourier_16           1.3189     -0.5457     -0.7135 s.e.      0.5592      0.5615      0.5568  sigma^2 = 22.38:  log likelihood = -2157.5 AIC=4361   AICc=4362.56   BIC=4466.6",ok
