model,mean_error,sd_error,ljung_box_statistic,ljung_box_p_value
Damped Holt trend,19.684199521630617,12.845938555145802,2160.4295433107773,0
Holt linear trend,21.218810089927057,12.723649580432255,2121.282538225623,0
Simple exponential smoothing,19.676352041120207,12.84588060578581,2160.4262766940055,0
Weekly ETS,17.03272846640736,12.202902534772806,2632.8738702036107,0
