model,RMSE,MAE,MAPE,rank
TSLM,9.51928610085588,7.8319560877471925,22.295393623370146,1
Previous-year naive,11.693161844113849,9.24553257571369,23.580626680063933,2
Mean,13.8364752891645,11.283958986093708,25.88264769387009,3
Weekly seasonal naive,19.772778949264094,16.434316074744572,39.52936885340478,4
Naive,23.488707171552225,20.044732296323424,40.164446425290436,5
