date,model_family,forecasting_setup,model,actual,forecast,error,abs_error,pct_error,model_label
2025-01-01,Baseline,Full test-year benchmark,TSLM,28.859294836808203,39.082441645486206,-10.223146808678004,10.223146808678004,35.42410466536773,Baseline: TSLM
2025-01-02,Baseline,Full test-year benchmark,TSLM,33.983246678220674,39.528723663061534,-5.54547698484086,5.54547698484086,16.31826716661204,Baseline: TSLM
2025-01-03,Baseline,Full test-year benchmark,TSLM,46.99711652426189,41.57284773688632,5.424268787375574,5.424268787375574,11.541705509901524,Baseline: TSLM
2025-01-04,Baseline,Full test-year benchmark,TSLM,36.48707262338055,47.858362474174726,-11.371289850794176,11.371289850794176,31.165256714805807,Baseline: TSLM
2025-01-05,Baseline,Full test-year benchmark,TSLM,39.86408639106409,50.32378051086002,-10.459694119795929,10.459694119795929,26.23838915355292,Baseline: TSLM
2025-01-06,Baseline,Full test-year benchmark,TSLM,46.99033078880406,41.32093025188726,5.669400536916797,5.669400536916797,12.065036448450774,Baseline: TSLM
2025-01-07,Baseline,Full test-year benchmark,TSLM,40.55820242080866,39.79676741893771,0.7614350018709501,0.7614350018709501,1.8773884354408437,Baseline: TSLM
2025-01-08,Baseline,Full test-year benchmark,TSLM,38.662414494361265,39.1547578427408,-0.492343348379535,0.492343348379535,1.273441803411789,Baseline: TSLM
2025-01-09,Baseline,Full test-year benchmark,TSLM,38.2069654078816,39.60103986031613,-1.3940744524345303,1.3940744524345303,3.648744247421836,Baseline: TSLM
2025-01-10,Baseline,Full test-year benchmark,TSLM,46.28516506987247,41.64516393414091,4.640001135731559,4.640001135731559,10.024812763931974,Baseline: TSLM
2025-01-11,Baseline,Full test-year benchmark,TSLM,39.15182619768857,47.93067867142932,-8.778852473740749,8.778852473740749,22.42258746607082,Baseline: TSLM
2025-01-12,Baseline,Full test-year benchmark,TSLM,55.702100621907306,50.39609670811461,5.3060039137926935,5.3060039137926935,9.525680099227486,Baseline: TSLM
2025-01-13,Baseline,Full test-year benchmark,TSLM,40.13026259504064,41.393246449141856,-1.2629838541012148,1.2629838541012148,3.1472105399512045,Baseline: TSLM
2025-01-14,Baseline,Full test-year benchmark,TSLM,37.79069767441859,39.869083616192306,-2.0783859417737176,2.0783859417737176,5.499728953616609,Baseline: TSLM
2025-01-15,Baseline,Full test-year benchmark,TSLM,26.752365648991248,39.227074039995394,-12.474708391004146,12.474708391004146,46.63030011880288,Baseline: TSLM
2025-01-16,Baseline,Full test-year benchmark,TSLM,28.004024042379797,39.67335605757072,-11.669332015190925,11.669332015190925,41.67019710285629,Baseline: TSLM
2025-01-17,Baseline,Full test-year benchmark,TSLM,35.1764361302482,41.717480131395504,-6.541044001147306,6.541044001147306,18.59495935554047,Baseline: TSLM
2025-01-18,Baseline,Full test-year benchmark,TSLM,40.97913845415431,48.00299486868391,-7.023856414529604,7.023856414529604,17.14007829224519,Baseline: TSLM
