model,RMSE,MAE,MAPE,rank
Weekly ETS,20.943177753293966,17.597706408907005,35.36571183545649,1
Simple exponential smoothing,23.488792599391854,20.04482142422611,40.16463813166563,2
Damped Holt trend,23.49539835125209,20.051669190076417,40.17931119834083,3
Holt linear trend,24.73227896056295,21.373514069583678,43.07868094193661,4
